id,disease_id,symptom_id
348,445,390
349,445,391
350,445,392
351,445,181
352,445,26
353,445,59
354,445,60
355,120,90
356,120,368
357,120,215
358,120,369
359,572,49
360,572,7
361,572,197
362,572,146
363,572,514
364,572,515
365,572,516
366,572,517
367,307,13
368,307,121
369,307,113
370,307,114
371,307,174
372,68,11
373,68,83
374,68,100
375,68,60
376,68,197
377,68,97
378,68,57
379,68,241
380,460,47
381,460,395
382,460,396
383,460,41
384,460,45
385,460,46
386,460,4
387,405,4
388,405,59
389,405,154
390,405,7
391,405,60
392,405,54
393,405,55
394,405,135
395,405,9
396,405,91
397,11,93
398,11,142
399,11,121
400,11,149
401,11,150
402,11,152
403,11,134
404,11,124
405,11,60
406,11,4
407,11,125
408,11,126
409,11,127
410,568,513
411,568,512
412,568,84
413,605,24
414,605,2
415,605,4
416,605,179
417,605,122
418,605,1
419,605,60
420,605,50
421,605,180
422,605,181
423,66,98
424,66,242
425,66,138
426,66,243
427,66,245
428,66,3
429,66,246
430,66,247
431,66,181
432,66,249
433,12,82
434,12,125
435,12,4
436,12,135
437,12,91
438,12,24
439,12,15
440,12,155
441,12,112
442,12,11
443,12,157
444,32,68
445,32,159
446,32,158
447,302,34
448,302,54
449,302,397
450,302,197
451,302,355
452,302,341
453,580,33
454,580,36
455,580,44
456,580,519
457,580,136
458,580,521
459,580,522
460,580,201
461,580,471
462,17,93
463,17,114
464,17,124
465,17,47
466,17,60
467,17,4
468,17,125
469,17,126
470,17,127
471,78,61
472,78,92
473,78,98
474,78,7
475,78,197
476,78,264
477,78,279
478,78,267
479,78,134
480,78,3
481,78,280
482,78,238
483,78,281
484,339,18
485,339,103
486,339,398
487,339,96
488,339,350
489,557,305
490,557,96
491,557,57
492,557,201
493,557,97
494,53,217
495,53,218
496,53,104
497,102,96
498,102,264
499,102,7
500,102,3
501,102,138
502,102,122
503,102,134
504,317,87
505,317,115
506,317,154
507,317,234
508,317,141
509,6,98
510,6,118
511,6,119
512,6,267
513,6,268
514,6,270
515,6,271
516,510,80
517,510,213
518,106,179
519,106,96
520,106,372
521,106,373
522,106,112
523,67,16
524,67,216
525,67,263
526,211,53
527,211,68
528,211,55
529,211,61
530,211,12
