id,name,description,key,published_at,created_by,updated_by,created_at,updated_at,subclass_of
2,Nhi Tiêu hóa - Gan mật,"Đảm nhận khám, nội soi chẩn đoán và điều trị các bệnh về đường tiêu hóa - gan mật ở trẻ em.

Các chứng bệnh thường gặp như: các bệnh hệ thống tiêu hoá, gan mật, tiêu chảy cấp, tiêu chảy kéo dài, xuất huyết tiêu hoá, gan mật cấp tính và mãn tính, viêm loét dạ dày, tá tràng, viêm gan mãn, hội chứng ứ mật kéo dài, u ở bụng,...",1a7b6db64f3c83e82399b007a23caa3b23ea7ae4cce08eb244907ba365a8fbfe,2022-01-20 07:55:28.497+00,,1,2022-01-19 07:57:23.731+00,2022-01-20 07:55:28.512+00,20
4,Huyết học,"Vai trò hoạt động của khoa Huyết học - Truyền máu là thực hiện xét ngiệm chẩn đoán các nguyên nhân thiếu máu, các bệnh lý tan máu (hồng cầu nhỏ hình cầu di truyền, tan máu tự miễn…), xét nghiệm ngưng tập tiểu cầu và xét nghiệm chẩn đoán phân loại bạch cầu cấp,...Nguyên lý xét nghiệm chẩn đoán các bệnh về máu thông qua xét nghiệm huyết tủy đồ, sinh thiết tủy, xác định kiểu hình miễn dịch. Ngoài ra, khoa còn thực hiện các xét nghiệm đông máu phục vụ bệnh nhân sàng lọc trước mổ; các xét nghiệm chuyên sâu như định lượng các yếu tố đông máu; các xét nghiệm miễn dịch và xét nghiệm cao cấp phục vụ chương trình ghép tế bào gốc, ghép tạng.",dd423fec9e78ee4fcbdb930b3b0f40d3507e1d8815718ef0c4c024b4cd2980cd,2022-01-20 07:57:41.157+00,,,2022-01-19 07:57:23.744+00,2022-01-20 07:57:41.17+00,
10,Truyền nhiễm,"Khoa lâm sàng có chức năng tiếp nhận khám, chẩn đoán, điều trị, hợp tác chống dịch bệnh và chăm sóc bệnh nhân bị bệnh do vi khuẩn, ký sinh trùng, các bệnh nhiễm trùng chưa xác định rõ nguyên nhân gây bệnh. Khoa truyền nhiễm còn bao gồm chức năng tổ chức tiêm phòng vắc xin theo chỉ đạo của Bộ Y Tế, thực hiện cả đối với trẻ em và người lớn, trong đó đặc biệt phục vụ những người trưởng thành, điển hình như tiêm vắc xin phòng ngừa virut HPV, viêm gan A, viêm gan B, Zona, Herpes, sốt rét, viêm phổi,...",b16a7d0515c9c548d259312b4eab4d6c2987908645615626b1f4db1cc939aa8d,2022-01-20 08:16:23.252+00,,,2022-01-19 07:57:23.783+00,2022-01-20 08:16:23.281+00,
6,Phụ sản,"Chuyên khoa Phụ sản là chuyên khoa có chức năng theo dõi thai kỳ, khám và điều trị cho phụ nữ mang thai với các bệnh lý đi kèm của thai nhi và phần phụ của thai.<br>Chuyên khoa Sản khoa chuyên sâu về khám và quản lý thai thường; tư vấn và cung cấp các dịch vụ chăm sóc thai sản; khám và quản lý thai nghén nguy cơ cao; hỗ trợ sinh sản như IVF, IUI; điều trị thai bệnh lý như: song thai, đa thai, rau tiền đạo, rau cài răng lược, dọa sảy thai, dọa sinh non, mẹ có bệnh lý nội khoa, tiền sản giật, u buồng trứng, u xơ tử cung, ung thư khi mang thai, thai dị tật bẩm sinh, thai chậm phát triển trong tử cung, nhiễm trùng bào thai,…",9bc7ca24b7d876648f0171b10bb9d9763a9253be034a3a24abf7ea2c36cd4d06,2022-01-20 08:05:30.59+00,,1,2022-01-19 07:57:23.756+00,2022-01-20 08:05:30.606+00,
12,Ung bướu (điều trị tia xạ) ,"Khoa ung bướu là một trong những chuyên khoa quan trọng của phân ngành ngoại khoa, có chức năng chẩn đoán, điều trị, tầm soát ung thư và cung cấp đầy đủ các dịch vụ chăm sóc y tế cần thiết cho bệnh nhân ung thư bao gồm: hoá trị, xạ trị, điều trị ngoại khoa, điều trị nội khoa, ghép tế bào gốc...; đồng thời giúp kiểm soát các cơn đau bằng cách vật lý trị liệu, phong bế thần kinh ngoại biên, phong bế giao cảm,...

Các bệnh thường gặp của khoa ung bướu có thể kể đến như: ung thư gan, ung thư phổi, ung thư cổ tử cung, ung thư vú, ung thư buồng trứng, ung thư tuyến giáp, ung thư da, ung thư đại trực tràng, ung thư dạ dày,...",ed41fcdae6a93669905f1ac598706aaf93869dc642d08ae42b8d457679cabd49,2022-01-20 08:24:48.185+00,,1,2022-01-19 07:57:23.794+00,2022-01-20 08:24:48.198+00,
14,Nội nha,"Là chuyên ngành nha khoa chữa trị các bệnh lý của tủy răng bằng phương pháp nội nha (điều trị đi sâu vào trong chân răng).

Những bệnh lý phổ biến của khoa nội nha như: viêm tuỷ có hồi phục, viêm tuỷ không hồi phục, hoại tử tuỷ, viêm tuỷ cấp,...",a3739cd5539db057fa2612a858e1e0982fe0140bf8d47686bd58640e19a3ceee,2022-01-20 08:30:38.056+00,,1,2022-01-19 07:57:23.809+00,2022-01-20 08:30:38.074+00,19
13,Nhi Hô hấp,,4d7067336a233b2bb77105250ecdf0066c7bf3520dce3f6e3786efacbdb66f5a,2022-01-20 10:36:53.922+00,,1,2022-01-19 07:57:23.8+00,2022-01-20 10:36:53.937+00,20
20,Nhi,"Là một trong bốn phân ngành y khoa quan trọng thuộc khối lâm sàng, chuyên sâu về chăm sóc sức khoẻ trẻ sơ sinh, trẻ em và trẻ nhỏ dưới 16 tuổi, bao gồm: nhi khoa tổng quát, nhi chuyên sâu (nội tiết, thận, thần kinh, phổi, tiêu hoá) , phẫu thuật nhi (giải phẫu, chỉnh hình, phẫu thuật, tiết niệu), nhi khoa sơ sinh, các bệnh truyền nhiễm và tiêm chủng",a944f7d7410f89ca1b210d01b40ffa725ac4a55522f63a637c2fba45cf329187,2022-01-20 08:42:45.182+00,,,2022-01-19 07:57:23.852+00,2022-01-20 08:42:45.193+00,
23,Tiêu hóa - Gan mật,"Là một chuyên khoa thuộc khối lâm sàng, giữ chức năng khám chữa tổng hợp các bệnh liên quan đến đường tiêu hóa và các cơ quan phụ trợ tiêu hoá.

Chuyên khoa Tiêu hóa - Gan mật bao gồm 2 chuyên khoa nhỏ là Nội Tiêu hóa - Gan mật và Ngoại Tiêu hóa - gan mật",25d40d8733669538a416ea3811b995351017515e3a1202a11c62a79ece53fba6,2022-01-20 09:59:58.327+00,,1,2022-01-19 07:57:23.873+00,2022-01-20 09:59:58.341+00,
17,Tâm lý,,a51b4bf713428f0149d2f0ac8c3405542726d1c75ca1ab97f89f1cad8a9a4e2d,2022-01-20 09:58:31.199+00,,1,2022-01-19 07:57:23.83+00,2022-01-20 09:58:31.211+00,
