id,name,overview,synonym,update_by,published_at,created_by,updated_by,created_at,updated_at,belongs_to
3,Mệt mỏi,"Mệt mỏi xảy ra hầu hết là một phần của phức hợp triệu chứng, nhưng đôi khi nó xuất hiện đơn độc hoặc là một triệu chứng chính, mệt mỏi là một trong những triệu chứng phổ biến nhất.<br>Mệt mỏi là khó khăn khi bắt đầu và duy trì hoạt động do thiếu năng lượng và kèm theo mong muốn nghỉ ngơi. Mệt mỏi thường gặp sau khi gắng sức, căng thẳng kéo dài, và thiếu ngủ.<br>Bệnh nhân có thể đề cập những triệu chứng quan trọng khác giống với mệt mỏi; và thường cần phải phân biệt chúng với triệu chứng mệt mỏi,bằng cách đặt câu hỏi chi tiết<br>Yếu<br>, một triệu chứng của hệ thống thần kinh hoặc rối loạn cơ, là không tạo ra đủ lực với nỗ lực co cơ tối đa. Rối loạn như Bệnh myasthenia gravis<br>và Hội chứng Eaton-Lambert<br>có thể là nguyên nhân gây ra yếu dần trong hoạt động,mô phỏng bởi sự mệt mỏi.<br>Khó thở<br>khi gắng sức, là một triệu chứng sớm của rối loạn tim mạch và hô hấp, có thể làm giảm dung nạp với hoạt động thể chất, mô phỏng bởi sự mệt mỏi. Các triệu chứng về hô hấp thường có thể được lộ ra khi hỏi bệnh cẩn thận hoặc phát triển thêm câu hỏi.<br>Chứng ngủ gà, triệu chứng này là sự rối loạn gây ra bởi sự thiếu ngủ (ví dụ:, viêm mũi dị ứng<br>, trào ngược thực quản<br>,đau nhức cơ xương khớp, ngưng thở khi ngủ,những rối loạn nặng mãn tính), là một rối loạn do nhu cầu mãnh liệt về giấc ngủ. Thường gặp hiện tượng ngáp và ngủ gật vài giờ vào ban ngày. Bệnh nhân thường có thể nói sự khác biệt giữa ngủ gà và mệt mỏi. Tuy nhiên, sự thiếu ngủ do khó đi vào giấc ngủ có thể gây đau cơ và mệt mỏi, và nhiều bệnh nhân bị mệt mỏi có rối loạn giấc ngủ, do đó sự khác biệt giữa mệt mỏi và buồn ngủ có thể là khó khăn.<br>Mệt mỏi có thể được phân loại theo thời gian, chẳng hạn như sau:<br>Mệt mỏi gần đây:<1 tháng<br>Mệt mỏi kéo dài: 1-6 tháng<br>Mệt mỏi mãn tính:> 6 tháng<br>Hội chứng mệt mỏi mãn tính<br>là một trong những nguyên nhân gây mệt mỏi mãn tính.",[],,2022-01-12 12:38:18.908+00,1,1,2022-01-12 10:06:17.208+00,2022-01-12 12:38:19.534+00,
117,Sưng phù nề,,,,2022-01-14 04:06:47.554+00,3,3,2022-01-14 04:06:44.896+00,2022-01-14 04:06:47.566+00,
68,Tiểu nhiều lần,"Tiểu nhiều lần -<br><br>Tiểu nhiều lần là tình trạng người bệnh cần phải đi tiểu rất nhiều lần trong ngày, hoặc vào ban đêm (tiểu đêm), hoặc cả hai, nhưng lượng nước tiểu bình thường hoặc ít hơn bình thường. Thường đi kèm với cảm giác về một nhu cầu cấp bách phải đi tiểu ngay (tiểu gấp). Tiểu nhiều lần cần được phân biệt với đa niệu<br>, đó là tình trạng số lượng nước tiểu quá nhiều > 3 L / ngày.",[],Nam,2022-01-12 12:42:20.333+00,1,1,2022-01-12 10:06:17.819+00,2022-01-14 04:58:00.577+00,
2,Phù,"Phù là tình trạng sưng nề các mô mềm do thoát dịch vào khoảng kẽ. Dịch chủ yếu là nước, nhưng cũng có thể có sự tích tụ protein và chất lỏng giàu chất protein nếu có nhiễm trùng hoặc tắc nghẽn bạch huyết.<br>Phù có thể xuất hiện ở toàn thân hoặc cục bộ (giới hạn ở một chi hoặc một phần chi). Đôi khi, triệu chứng này xuất hiện đột ngột, bệnh nhân có thể mô tả rằng chân hoặc tay họ đột ngột xuất hiện tình trạng phù nề. Nhưng thông thường, triệu chứng phù xuất hiện kín đáo và từ từ tăng dần, khởi phát bằng các biểu hiện tăng cân, nặng mí mắt khi thức dậy vào buổi sáng, hay đi giầy thấy chật vào cuối ngày. Phù tuy tiến triển chậm, nhưng thường đã ở mức độ nặng trước khi bệnh nhân đi khám.<br>PETER SKINNER / THƯ VIỆN ẢNH KHOA HỌC<br>Triệu chứng phù thường ít gây khó chịu ngoài việc mặc quần áo chật; các triệu chứng đi kèm khác thường do bệnh lý nền gây ra. Bệnh nhân phù do suy tim<br>(nguyên nhân thường gặp) thường có khó thở gắng sức, khó thở khi nằm và khó thở kịch phát về đêm. Bệnh nhân bị phù do huyết khối tĩnh mạch sâu<br>(DVT) thường kèm theo đau.<br>Phù do tăng thể tích dịch ngoại bào thường thay đổi theo tư thế. Do đó, ở bệnh nhân đi lại được, phù khu trú ở cẳng chân và bàn chân; ở bệnh nhân nằm nhiều, phù xuất hiện ở mông, bộ phận sinh dục, và mặt sau đùi. Bệnh nhân nữ hay nằm nghiêng một bên, phù có thể chỉ khu trú ở một bên vú. Tắc mạch bạch huyết gây phù ở phần ngoại vi của vùng tắc nghẽn.<br>DR P. THƯ VIỆN ẢNH MARAZZI / KHOA HỌC",[],,2022-01-12 12:40:46.58+00,1,1,2022-01-12 10:06:17.193+00,2022-01-12 12:40:46.595+00,
197,Nôn mửa,,,,2022-01-14 07:11:24.649+00,1,1,2022-01-14 07:11:23.231+00,2022-01-14 07:11:24.665+00,
242,Nhanh no,,,,2022-01-14 08:09:41.972+00,1,1,2022-01-14 08:09:39.284+00,2022-01-14 08:09:41.985+00,
243,Sốt cao,,,,2022-01-14 08:10:25.246+00,1,1,2022-01-14 08:10:22.947+00,2022-01-14 08:10:25.257+00,
301,"Da dày, nứt nẻ, bong vảy",,,,2022-01-14 09:56:51.977+00,1,1,2022-01-14 09:56:50.515+00,2022-01-14 09:56:51.987+00,
362,Răng mọc thừa,,,,2022-01-15 04:51:57.252+00,3,3,2022-01-15 04:51:54.046+00,2022-01-15 04:51:57.266+00,
431,Thấp huyết áp,,,,2022-01-15 07:48:35.886+00,3,3,2022-01-15 07:48:33.782+00,2022-01-15 07:48:35.922+00,
